run_accession	sample_accession	location	isolate	sample_alias	note
SRR14722280	SAMN19302826	34.308 N 87.50314 W		FEN_505_Polymeridium_proponens_Plate6_R1.fastq.gz	
SRR14722281	SAMN19302825	34.308 N 87.50314 W		FEN_504_Trypethelium_virens_Plate6_R1.fastq.gz	
SRR14722282	SAMN19302824	34.308 N 87.50314 W		FEN_503_Peltigera_neckeri_Plate6_R1.fastq.gz	
SRR14722283	SAMN19302823	34.308 N 87.50314 W		FEN_502_Cresponea_flava_Plate6_R1.fastq.gz	
SRR14722284	SAMN19302487	35.5631 N 83.4983 W		Plate1_H7_S43_L002_R1_001.fastq.gz	
SRR14722285	SAMN19302822	34.308 N 87.50314 W		FEN_501_Leptogium_dactylinum_Plate6_R1.fastq.gz	
SRR14722286	SAMN19302821	34.308 N 87.50314 W		FEN_500_Micarea_peliocarpa_Plate6_R1.fastq.gz	
SRR14722287	SAMN19302820	34.308 N 87.50314 W		FEN_499_Flakea_papillata_Plate6_R1.fastq.gz	
SRR14722288	SAMN19302819	34.308 N 87.50314 W		FEN_498_Dibaeis_sorediata_Plate6_R1.fastq.gz	
SRR14722289	SAMN19302818	34.308 N 87.50314 W		FEN_497_Parmotrema_rampoddense_Plate6_R1.fastq.gz	
SRR14722290	SAMN19302817	34.32911 N 87.50922 W		FEN_496_Cladonia_robbinsii_Plate6_R1.fastq.gz	
SRR14722291	SAMN19302816	34.32911 N 87.50922 W		FEN_495_Tuckermanopsis_ciliaris_Plate6_R1.fastq.gz	
SRR14722292	SAMN19302815	34.32911 N 87.50922 W		FEN_494_Cladonia_rangiferina_Plate6_R1.fastq.gz	
SRR14722293	SAMN19302814	34.32911 N 87.50922 W		FEN_493_Cladonia_subtenuis_Plate6_R1.fastq.gz	
SRR14722294	SAMN19302813	34.32911 N 87.50922 W		FEN_492_Cladonia_caroliniana_Plate6_R1.fastq.gz	
SRR14722295	SAMN19302486	35.5631 N 83.4983 W		Plate1_G7_S37_L002_R1_001.fastq.gz	
SRR14722296	SAMN19302812	34.32911 N 87.50922 W		FEN_491_Cladonia_ravenelii_Plate6_R1.fastq.gz	
SRR14722297	SAMN19302811	34.32911 N 87.50922 W		FEN_490_Gyalideopsis_ozarkensis_Plate6_R1.fastq.gz	
SRR14722298	SAMN19302810	34.3092 N 87.3947 W		FEN_489_Cladonia_uncialis_Plate6_R1.fastq.gz	
SRR14722299	SAMN19302809	34.32911 N 87.50922 W		FEN_488_Cladonia_squamosa_Plate6_R1.fastq.gz	
SRR14722300	SAMN19302808	34.32911 N 87.50922 W		FEN_487_Punctelia_caseana_Plate6_R1.fastq.gz	
SRR14722301	SAMN19302807	34.32911 N 87.50922 W		FEN_486_Cladonia_leporina_Plate6_R1.fastq.gz	
SRR14722302	SAMN19302806	34.32911 N 87.50922 W		FEN_485_Hypotrachyna_osseoalba_Plate6_R1.fastq.gz	
SRR14722303	SAMN19302805	34.32911 N 87.50922 W		FEN_484_ssc___Plate6_R1.fastq.gz	
SRR14722304	SAMN19302804	34.97881 N 86.08822 W		FEN_483_Micareopsis_irriguata_Plate6_R1.fastq.gz	
SRR14722305	SAMN19302803	34.97881 N 86.08822 W		FEN_482_Heterodermia_casarettiana_Plate6_R1.fastq.gz	
SRR14722306	SAMN19302485	35.61 N 83.4467 W		Plate1_F7_S31_L002_R1_001.fastq.gz	
SRR14722307	SAMN19302802	34.97881 N 86.08822 W		FEN_481_Placynthium_petersii_Plate6_R1.fastq.gz	
SRR14722308	SAMN19302801	34.97881 N 86.08822 W		FEN_480_Willeya_diffractella_Plate6_R1.fastq.gz	
SRR14722309	SAMN19302800	34.35056 N 85.67525 W		FEN_479_ssc_3_Plate6_R1.fastq.gz	
SRR14722310	SAMN19302799	34.94025 N 85.97656 W		FEN_478_Parmotrema_austrosinense_Plate6_R1.fastq.gz	
SRR14722311	SAMN19302798	34.95553 N 85.99956 W		FEN_477_Phlyctis_boliviensis_Plate6_R1.fastq.gz	
SRR14722312	SAMN19302797	34.95553 N 85.99956 W		FEN_476_Protoblastenia_rupestris_Plate6_R1.fastq.gz	
SRR14722313	SAMN19302796	34.95553 N 85.99956 W		FEN_475_Phlyctis_petraea_Plate6_R1.fastq.gz	
SRR14722314	SAMN19302795	34.95553 N 85.99956 W		FEN_474_Peltigera_phyllidiosa_Plate6_R1.fastq.gz	
SRR14722315	SAMN19302794	34.95553 N 85.99956 W		FEN_473_Leptogium_lichenoides_Plate6_R1.fastq.gz	
SRR14722316	SAMN19302793	34.95553 N 85.99956 W		FEN_472_Heterodermia_echinata_Plate6_R1.fastq.gz	
SRR14722317	SAMN19302484	35.4675 N 83.5617 W		Plate1_E7_S25_L002_R1_001.fastq.gz	
SRR14722318	SAMN19302792	34.95553 N 85.99956 W		FEN_471_Kephartia_crystalligera_Plate6_R1.fastq.gz	
SRR14722319	SAMN19302791	34.95553 N 85.99956 W		FEN_470_Cladonia_furcata_Plate6_R1.fastq.gz	
SRR14722320	SAMN19302790	34.95553 N 85.99956 W		FEN_469_Peltigera_praetextata_Plate6_R1.fastq.gz	
SRR14722321	SAMN19302789	34.95553 N 85.99956 W		FEN_468_Bagliettoa_baldensis_Plate6_R1.fastq.gz	
SRR14722322	SAMN19302788	34.95553 N 85.99956 W	Tripp_6417_NY-2796640	FEN_467_Trentepohlia_sp_Plate6_R1.fastq.gz	
SRR14722323	SAMN19302787	34.95553 N 85.99956 W		FEN_466_Nadvornikia_sorediata_Plate6_R1.fastq.gz	
SRR14722324	SAMN19302786	34.95553 N 85.99956 W		FEN_465_Lepraria_disjuncta_Plate6_R1.fastq.gz	
SRR14722325	SAMN19302785	34.95553 N 85.99956 W		FEN_464_Parmotrema_internexum_Plate6_R1.fastq.gz	
SRR14722326	SAMN19302784	34.95553 N 85.99956 W		FEN_463_Parmotrema_arnoldii_Plate6_R1.fastq.gz	
SRR14722327	SAMN19302783	34.97797 N 85.81031 W		FEN_462_Catillaria_lenticularis_Plate6_R1.fastq.gz	
SRR14722328	SAMN19302483	35.4675 N 83.5617 W		Plate1_D7_S19_L002_R1_001.fastq.gz	
SRR14722329	SAMN19302782	34.97797 N 85.81031 W		FEN_461_Parmotrema_cetratum_Plate6_R1.fastq.gz	
SRR14722330	SAMN19302781	34.97797 N 85.81031 W		FEN_460_Pertusaria_obruta_Plate6_R1.fastq.gz	
T1914	SAMN25961858	54.620266 N 104.365265 W		Mycoblastus sanguinarius MAG	
X13	SAMN25961857	44.0301 N 71.51789 W	Spribille 41460	Loxospora ochrophaea MAG	
SRR18162809	SAMN25961856	28.43232 N 16.39024 W	Werth ST12-03b	Lobaria immixta MAG	
T1887	SAMN25961855	53.339535 N 117.819725 W		Lignoscripta atroalba MAG	
T1894	SAMN25961854	53.54112 N 117.121445 W		Bachmanniomyces sp. S44760 MAG	
SRR18162812	SAMN25961853	47.11541 N 113.43497 W	Spribille 39820	Lambiella insularis MAG	
T1867	SAMN25961877	54.7656 N 115.53474 W		Xylographa vitiligo MAG	
SRR18162814	SAMN25961876	47.93049 N 115.49222 W	Spribille 41477	Xylographa trunciseda MAG	
SRR18162815	SAMN25961875	47.93049 N 115.49222 W	Spribille 41478	Xylographa soralifera MAG	
T1913	SAMN25961852	54.5119 N 99.03775 W		Icmadophila ericetorum MAG	
SRR18162817	SAMN25961874	46.879982 N 13.994663 E	T1151	Xylographa parallela MAG	
SRR18162818	SAMN25961873	47.514946 N 14.946404 E	Resl 1159	Xylographa pallens MAG	
SRR18162819	SAMN25961872	45.63647 N 123.94098 W	Spribille 41601	Xylographa opegraphella MAG	
T1889	SAMN25961871	53.54112 N 117.121445 W	Spribille 44761	Xylographa carneopallida MAG	
SRR18162821	SAMN25961870	45.63647 N 123.94098 W	Spribille 41600	Xylographa bjoerkii MAG	
T1912	SAMN25961869	62.699615 N 116.1392 W		Varicellaria rhodocarpa MAG	
SRR18162823	SAMN25961868	47.203716 N 15.484806 E	P141	Trapelia coarctata MAG	
T1904	SAMN25961867	54.635033 N 104.56195 W		Toensbergia leucococca MAG	
T1916	SAMN25961866	51.2584 N 118.32066 W	Spribille 44606	Thelotrema lepadinum MAG	
T1881	SAMN25961851	53.54112 N 117.121445 W		Hypocenomyce scalaris MAG	
SRR18162828	SAMN25961864	28.54 N 16.27 W	Vargas S.can	Sticta canariensis MAG	
SRR18162829	SAMN25961864	28.54 N 16.27 W	Vargas S.can	Sticta canariensis MAG	
SRR18162830	SAMN25961864	28.54 N 16.27 W	Vargas S.can	Sticta canariensis MAG	
X15	SAMN25961863	47.17965 N 113.95163 W	T1822_T1849	Schaereria dolodes MAG	
T1888	SAMN25961862	56.584167 N 119.70972 W		Puttea exsequens MAG	
T1868	SAMN25961861	53.4593 N 118.2515 W		Ptychographa xylographoides MAG	
SRR18162834	SAMN25961860	28.538715 N 16.267014 W	Werth ST10-01b	Pseudocyphellaria aurata MAG	
SRR18162835	SAMN25961859	64.06834 N 21.72876 W	HD1-Pleu1	Peltigera leucophlebia MAG	
SRR18162836	SAMN25961859	64.06834 N 21.72876 W	HD1-Pleu1	Peltigera leucophlebia MAG	
SRR18162837	SAMN25961859	64.06834 N 21.72876 W	HD1-Pleu1	Peltigera leucophlebia MAG	
SRR18162838	SAMN25961850	58.28129 N 129.86394 W	Spribille 39798	Agyrium rufum MAG	
T1882	SAMN25961849	52.789925 N 112.70797 W		Acarospora aff. strigata MAG	
GTX0161		"35.59874, -83.47551"			
GTX0158		"35.914991, -78.38989"			
GTX0163		"48.0935, -90.4456"			
TS1974		"54.972767, -101.460483"			
X12		"46.56742, -114.63975"			
X1		"-41.1, -71.4"	T1828-1830 (pooled)		"Rio Negro, Bariloche, Carro Otto, on Nothofagus pumilio"
X2		"52.4, -115.1"	T1842-1845 (pooled)		"Alberta, W of Rocky Mountain House, Prentice Creek"
X3		"46.9250, -113.9610"	"Genome extraction 1-8 (TS, Missoula)"		"Montana, Missoula Co., Rattlesnake Trailhead"
X4		"60.2, 5.5"	T1813		"Hordaland, Os, Bjørken"
X5		"64.4, 10.9"	T1812		"Nord-Trøndelag, Flatanger"
X7		"-41.1, -71.4"	T1831-1833 (pooled)		"Rio Negro, Bariloche, Casa de Piedra River"
X8		"50.9, -116.4"	Rthr3 (Missoula)		"British Columbia, Spillimacheen River"
X9		"50.9, -116.4"	T1838-1839 (pooled)		"British Columbia, Spillimacheen River"
X10		"44.6, -123.4"	T1826-1827 (pooled)		"Oregon, Benton Co., Lilliam Road, near Wren"
X11		"44.5910, -123.2319"	T1816		"Oregon, Benton Co., backyard of 1840 NE Seavy Ave (McCune residence)"
X14		"47.0147, -114.0020"	T1820		"Montana, Missoula Co., Snowbowl Ski Area"
X16		"46.915, -113.679"	T1834-1835		"Montana, Missoula Co., Blackfoot River upstream of Johnsrud river access"
VT1		"52.9, -117.2"	LID1		"Alberta, Mountain Park, McLeod River headwaters, just N of Cardinal Divide"
VT12		"52.9, -117.2"	LID12		"Alberta, between Cardinal Divide an upper reaches of Cardinal River"
VT15		"52.9, -117.2"	LID15		"Alberta, Cardinal Divide"
VT16		"54.4, -112.8"	LID16		"Alberta, near Long Lake NE of Edmonton"
VT19		"52.9, -117.2"	LID19		"Alberta, Cardinal Divide"
VT2		"52.9, -117.2"	LID2		"Alberta, Cardinal Divide"
VT22		"52.9, -117.2"	LID22		"Alberta, Cardinal Divide"
VT26		"54.4, -112.8"	LID26		"Alberta, near Long Lake NE of Edmonton"
VT31		"52.9, -117.2"	LID31		"Alberta, between Cardinal Divide an upper reaches of Cardinal River"
VT33		"62.5, -114.3"	LID33		"Northwest Territories, Ingraham Trail, NE of Yellowknife, rock outcrops S of road SW of Prosperous Lake"
VT34		"52.1, -116.4"	LID34		"Alberta, Kootenay Plains"
VT38		"47.1, 14.6"	LID38		"Styria, Eastern Alps, Seetal Alps, W of Obdach, mountian Zirbitzkogel, fossil glacier N of lake Lindersee"
