# bin	classification	reason	lineage	lineage scores
public_SRR14722028_metabat2_bin.1.fa	taxid assigned	based on 16717/31892 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14722031_metabat2_bin.3.fa	taxid assigned	based on 10926/24987 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.64;0.64;0.51;0.51;0.51;0.47;0.47
public_SRR14722032_metabat2_bin.2.fa	taxid assigned	based on 14163/30298 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.93;0.92;0.46;0.46
public_SRR14722033_concoct_bin.2.fa	taxid assigned	based on 16257/32096 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.91;0.91;0.90;0.89;0.89;0.89;0.89
public_SRR14722034_metabat2_bin.1.fa	taxid assigned	based on 16712/33871 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR14722036_metabat2_bin.1.fa	taxid assigned	based on 14514/33954 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.51;0.51
public_SRR14722037_metabat2_bin.2.fa	taxid assigned	based on 13320/30247 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.94;0.94;0.92;0.90;0.90;0.90;0.88;0.30;0.30
public_SRR14722038_metabat2_bin.1.fa	taxid assigned	based on 16935/34185 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.84;0.84;0.83;0.83;0.83;0.82;0.82
public_SRR14722039_metabat2_bin.7.fa	taxid assigned	based on 12058/23675 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.91;0.47;0.47
public_SRR14722041_metabat2_bin.10.fa	taxid assigned	based on 13198/27484 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.97;0.81;0.81;0.73;0.73;0.73;0.69;0.69
public_SRR14722042_metabat2_bin.4.fa	taxid assigned	based on 14507/41010 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.72;0.72;0.72;0.70;0.70
public_SRR14722042_metabat2_bin.6.fa	taxid assigned	based on 11594/25193 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.92;0.47;0.47
public_SRR14722043_metabat2_bin.3.fa	taxid assigned	based on 11389/25878 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.93;0.93;0.93;0.92;0.49;0.49
public_SRR14722046_concoct_bin.7.fa	taxid assigned	based on 12864/27862 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.51;0.51
public_SRR14722047_metabat2_bin.3.fa	taxid assigned	based on 14352/29632 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.51;0.51
public_SRR14722049_concoct_bin.8.fa	taxid assigned	based on 13353/29763 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.60;0.60
public_SRR14722050_metabat2_bin.2.fa	taxid assigned	based on 11523/23122 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.94;0.60;0.60
public_SRR14722051_metabat2_bin.4.fa	taxid assigned	based on 13405/26315 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.95;0.94;0.93;0.93;0.93;0.91;0.45;0.45
public_SRR14722054_metabat2_bin.5.fa	taxid assigned	based on 13928/31438 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.53;0.53
public_SRR14722056_metabat2_bin.4.fa	taxid assigned	based on 12357/29802 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.95;0.95;0.93;0.91;0.91;0.91;0.89;0.32;0.32
public_SRR14722057_concoct_merged.0.fa	taxid assigned	based on 14939/30051 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.75;0.75;0.68;0.68;0.68;0.59;0.59
public_SRR14722058_metabat2_bin.4.fa	taxid assigned	based on 12054/23113 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.87
public_SRR14722061_metabat2_bin.1.fa	taxid assigned	based on 12865/28178 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545	1.00;1.00;0.98;0.95;0.95;0.93;0.92;0.92;0.91;0.90;0.46
public_SRR14722062_metabat2_bin.2.fa	taxid assigned	based on 12668/25891 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.95;0.95;0.95;0.95;0.93;0.58;0.58
public_SRR14722063_concoct_bin.10.fa	taxid assigned	based on 16922/33509 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.97;0.83;0.83;0.82;0.82;0.82;0.81;0.80
public_SRR14722064_metabat2_bin.6.fa	taxid assigned	based on 13232/28692 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.96;0.95;0.95;0.94;0.59;0.59
public_SRR14722065_metabat2_bin.6.fa	taxid assigned	based on 11931/24993 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.96;0.96;0.95;0.94;0.64;0.64
public_SRR14722066_metabat2_bin.7.fa	taxid assigned	based on 12050/23702 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.77;0.77;0.70;0.70;0.70;0.64;0.64
public_SRR14722067_metabat2_bin.1.fa	taxid assigned	based on 18248/51641 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.71;0.71;0.71;0.69;0.69
public_SRR14722067_metabat2_bin.8.fa	taxid assigned	based on 14040/32494 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.94;0.94;0.92;0.91;0.91;0.91;0.89
public_SRR14722068_metabat2_bin.3.fa	taxid assigned	based on 16227/32462 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.98;0.84;0.84;0.83;0.83;0.83;0.82;0.81
public_SRR14722072_concoct_merged.0.fa	taxid assigned	based on 12749/24530 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.94;0.94;0.92;0.51;0.51
public_SRR14722077_concoct_merged.0.fa	taxid assigned	based on 16938/32648 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14722078_concoct_bin.17.fa	taxid assigned	based on 14246/28811 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.77;0.77;0.70;0.70;0.70;0.67;0.67
public_SRR14722080_concoct_merged.0.fa	taxid assigned	based on 10282/19864 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.97;0.89;0.89;0.85;0.83;0.83;0.83;0.81
public_SRR14722080_metabat2_bin.1.fa	taxid assigned	based on 12642/24786 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.79;0.79;0.72;0.72;0.72;0.63;0.63
public_SRR14722081_metabat2_bin.3.fa	taxid assigned	based on 13996/30017 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.53;0.53
public_SRR14722082_metabat2_bin.6.fa	taxid assigned	based on 13994/28267 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.77;0.77;0.70;0.70;0.70;0.62;0.62
public_SRR14722083_concoct_bin.1.fa	taxid assigned	based on 13545/24875 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;34395;43219	1.00;1.00;0.99;0.98;0.98;0.98;0.98;0.98;0.98;0.98;0.93;0.92;0.91;0.90
public_SRR14722083_concoct_bin.22.fa	taxid assigned	based on 11959/24722 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.56;0.56
public_SRR14722084_metabat2_bin.3.fa	taxid assigned	based on 14934/30421 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.76;0.76;0.69;0.69;0.69;0.61;0.61
public_SRR14722085_metabat2_bin.6.fa	taxid assigned	based on 13137/27467 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14722086_metabat2_bin.14.fa	taxid assigned	based on 11018/21074 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.88;0.87;0.87;0.87;0.82
public_SRR14722087_metabat2_bin.6.fa	taxid assigned	based on 13987/27800 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.97;0.96;0.96;0.96;0.95;0.75;0.75;0.68;0.68;0.68;0.61;0.60
public_SRR14722088_concoct_bin.14.fa	taxid assigned	based on 14710/29770 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.79;0.79;0.73;0.73;0.73;0.60;0.60
public_SRR14722090_metabat2_bin.14.fa	taxid assigned	based on 10893/21330 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.34;0.34
public_SRR14722092_concoct_merged.0.fa	taxid assigned	based on 12327/23683 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.98;0.95;0.95;0.93;0.93;0.93;0.92;0.91;0.46;0.46
public_SRR14722094_metabat2_bin.10.fa	taxid assigned	based on 15755/31299 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.87;0.87;0.85;0.85;0.85;0.84;0.84
public_SRR14722095_metabat2_bin.7.fa	taxid assigned	based on 11941/22079 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;1520791;452227;87265;87266;136370	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.95;0.95;0.93;0.93;0.93;0.93;0.93
public_SRR14722098_metabat2_bin.9.fa	taxid assigned	based on 10102/20184 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.95;0.95;0.94;0.93;0.93;0.93;0.92;0.47;0.47
public_SRR14722099_metabat2_bin.1.fa	taxid assigned	based on 14238/27950 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.75;0.75;0.68;0.68;0.68;0.60;0.60
public_SRR14722101_metabat2_bin.2.fa	taxid assigned	based on 13551/26606 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.78;0.78;0.71;0.71;0.71;0.62;0.62
public_SRR14722103_metabat2_bin.2.fa	taxid assigned	based on 15109/30426 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.75;0.75;0.68;0.68;0.68;0.59;0.59
public_SRR14722105_concoct_merged.0.fa	taxid assigned	based on 12219/24180 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.57;0.57
public_SRR14722106_metabat2_bin.2.fa	taxid assigned	based on 17480/34712 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.98;0.98;0.98;0.98;0.97;0.81;0.81;0.80;0.80;0.80;0.79;0.78
public_SRR14722108_metabat2_bin.1.fa	taxid assigned	based on 16232/32108 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.84;0.84;0.82;0.82;0.82;0.81;0.81
public_SRR14722109_metabat2_bin.1.fa	taxid assigned	based on 14478/30269 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.93;0.92;0.45;0.45
public_SRR14722112_metabat2_bin.8.fa	taxid assigned	based on 12177/30217 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.96;0.95;0.95;0.95;0.94;0.93;0.59;0.59
public_SRR14722113_metabat2_bin.5.fa	taxid assigned	based on 12945/29601 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.97;0.97;0.96;0.95;0.95;0.95;0.93;0.57;0.57
public_SRR14722115_concoct_bin.3.fa	taxid assigned	based on 16400/33002 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.98;0.98;0.86;0.86;0.85;0.85;0.85;0.84;0.84
public_SRR14722116_metabat2_bin.14.fa	taxid assigned	based on 16974/34138 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.84;0.84;0.84;0.83;0.83
public_SRR14722116_metabat2_bin.5.fa	taxid assigned	based on 24077/64552 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.96;0.94;0.93;0.91;0.87;0.87;0.87;0.87;0.86
public_SRR14722117_metabat2_bin.4.fa	taxid assigned	based on 14012/28357 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.77;0.77;0.70;0.70;0.70;0.62;0.62
public_SRR14722118_metabat2_bin.5.fa	taxid assigned	based on 16208/31924 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.88;0.88;0.86;0.86;0.86;0.86;0.85
public_SRR14722119_metabat2_bin.2.fa	taxid assigned	based on 13525/26418 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.78;0.78;0.71;0.71;0.71;0.63;0.63
public_SRR14722120_metabat2_bin.1.fa	taxid assigned	based on 16950/33756 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.83;0.83;0.83;0.83;0.82
public_SRR14722120_metabat2_bin.4.fa	taxid assigned	based on 19627/54714 ORFs	1;131567;2759;33090;3041;2692248;75966;2507901;2507902;13786;285719;2608996	1.00;1.00;0.98;0.96;0.94;0.93;0.90;0.87;0.87;0.87;0.87;0.86
public_SRR14722121_metabat2_bin.4.fa	taxid assigned	based on 12609/24911 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.78;0.78;0.70;0.70;0.70;0.61;0.61
public_SRR14722123_concoct_merged.0.fa	taxid assigned	based on 10553/20956 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.97;0.97;0.96;0.96;0.96;0.96;0.95;0.72;0.72;0.59;0.59;0.59;0.57;0.57
public_SRR14722124_metabat2_bin.8.fa	taxid assigned	based on 16366/33946 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.89;0.89;0.88;0.88;0.88;0.87;0.87
public_SRR14722125_metabat2_bin.9.fa	taxid assigned	based on 10130/19660 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.94;0.94;0.93;0.93;0.92;0.51;0.51
public_SRR14722127_concoct_bin.0.fa	taxid assigned	based on 14259/28824 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.89;0.89;0.87;0.87;0.87;0.86;0.86
public_SRR14722128_metabat2_bin.9.fa	taxid assigned	based on 13646/31321 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.75;0.75;0.67;0.67;0.67;0.64;0.64
public_SRR14722129_metabat2_bin.3.fa	taxid assigned	based on 16410/32271 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.90;0.90;0.89;0.89;0.89;0.88;0.88
public_SRR14722130_metabat2_bin.11.fa	taxid assigned	based on 10103/20072 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.95;0.95;0.94;0.94;0.69;0.69;0.55;0.55;0.55;0.53;0.53
public_SRR14722130_metabat2_bin.9.fa	taxid assigned	based on 15747/32707 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.85;0.85;0.83;0.83;0.83;0.82;0.82
public_SRR14722131_metabat2_bin.1.fa	taxid assigned	based on 12843/28090 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.92;0.92;0.88;0.87;0.87;0.87;0.84
public_SRR14722132_metabat2_bin.8.fa	taxid assigned	based on 15500/31511 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.98;0.98;0.98;0.89;0.89;0.87;0.87;0.87;0.87;0.86
public_SRR14722133_metabat2_bin.2.fa	taxid assigned	based on 13966/30197 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.54;0.54
public_SRR14722135_concoct_merged.1.fa	taxid assigned	based on 11722/24533 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.99;0.93;0.93;0.90;0.89;0.89;0.89;0.87
public_SRR14722135_metabat2_bin.5.fa	taxid assigned	based on 25385/70124 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.81;0.71;0.71;0.71;0.70;0.70
public_SRR14722135_metabat2_bin.8.fa	taxid assigned	based on 11199/22316 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545;451870;1618100;2231493;158045;158046	1.00;1.00;0.99;0.97;0.97;0.97;0.96;0.96;0.96;0.95;0.72;0.64;0.52;0.52;0.52;0.52
public_SRR14722136_concoct_merged.0.fa	taxid assigned	based on 14648/33986 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.94;0.94;0.92;0.90;0.90;0.90;0.88
public_SRR14722138_metabat2_bin.7.fa	taxid assigned	based on 14496/31861 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.52;0.52
public_SRR14722139_metabat2_bin.5.fa	taxid assigned	based on 16606/33238 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.84;0.84;0.82;0.82;0.82;0.81;0.81
public_SRR14722140_metabat2_bin.5.fa	taxid assigned	based on 14731/29862 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.99;0.99;0.99;0.98;0.90;0.90;0.89;0.89;0.89;0.88;0.88
public_SRR14722141_concoct_bin.2.fa	taxid assigned	based on 14344/32735 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.53;0.53
public_SRR14722143_metabat2_bin.4.fa	taxid assigned	based on 9418/21090 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546	1.00;1.00;0.98;0.56;0.56;0.53;0.52;0.52;0.51;0.50
public_SRR14722144_metabat2_bin.3.fa	taxid assigned	based on 14198/30940 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.92;0.53;0.53
public_SRR14722145_metabat2_bin.10.fa	taxid assigned	based on 10518/22176 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.54;0.54
public_SRR14722147_concoct_bin.2.fa	taxid assigned	based on 12252/26400 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.96;0.96;0.95;0.94;0.94;0.94;0.93;0.60;0.60;0.48;0.48;0.48;0.45;0.45
public_SRR14722147_metabat2_bin.1.fa	taxid assigned	based on 7680/17270 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.94;0.94;0.92;0.92;0.92;0.91;0.90;0.54;0.54;0.41;0.41;0.41;0.39;0.39
public_SRR14722150_concoct_bin.35.fa	taxid assigned	based on 14488/29438 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.98;0.97;0.97;0.97;0.96;0.78;0.78;0.71;0.71;0.71;0.61;0.61
public_SRR14722151_metabat2_bin.3.fa	taxid assigned	based on 16186/31550 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;1.00;0.99;0.99;0.99;0.98;0.98;0.98;0.98;0.83;0.83;0.81;0.81;0.81;0.80;0.80
public_SRR14722152_metabat2_bin.2.fa	taxid assigned	based on 17559/50119 ORFs	1;131567;2759;33090;3041;2692248;75966;75981;2511161;41891;248742;574566	1.00;1.00;0.96;0.93;0.88;0.87;0.80;0.70;0.70;0.70;0.69;0.69
public_SRR14722154_concoct_bin.10.fa	taxid assigned	based on 9605/17620 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147545	1.00;1.00;0.98;0.95;0.95;0.94;0.92;0.92;0.92;0.91;0.42
public_SRR14722154_metabat2_bin.3.fa	taxid assigned	based on 13394/27585 ORFs	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;147547;1520881;388435;5197;157822;78060;112415	1.00;1.00;0.99;0.98;0.98;0.97;0.97;0.97;0.97;0.96;0.77;0.77;0.69;0.69;0.69;0.66;0.66
